date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:27:38	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:38%20GMT	https://pavlolevchukknm201.wixsite.com/aa613bd1.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/aa613bd1.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:39	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:38%20GMT	https://pavlolevchukknm201.wixsite.com/395efea1.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/395efea1.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:39	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:38%20GMT	https://pavlolevchukknm201.wixsite.com/6daaad8b.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/6daaad8b.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:39	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:39%20GMT	https://pavlolevchukknm201.wixsite.com/bf91693c.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/bf91693c.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:39	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:39%20GMT	https://pavlolevchukknm201.wixsite.com/b4ae8803.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/b4ae8803.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:40	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:39%20GMT	https://pavlolevchukknm201.wixsite.com/62ccedec.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/62ccedec.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:40	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:40%20GMT	https://pavlolevchukknm201.wixsite.com/ae08c227.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/ae08c227.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:40	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:40%20GMT	https://pavlolevchukknm201.wixsite.com/11f27093.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/11f27093.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:41	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:40%20GMT	https://pavlolevchukknm201.wixsite.com/9b155e90.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/9b155e90.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:41	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:40%20GMT	https://pavlolevchukknm201.wixsite.com/4ec2545d.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/4ec2545d.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:41	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:41%20GMT	https://pavlolevchukknm201.wixsite.com/1bbe301d.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/1bbe301d.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
